公众号【晨瑞黑科】
📢公告栏,#genre#
◉【晨瑞黑科】,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉祝大家,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
🤓天天开心,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
🤓事事顺心,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉公众号,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉B站,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉昵称都叫,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉晨瑞黑科,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉记得关注,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉防止失联,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉QQ群号,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉366729025,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4


㊙️如何获取密码,#genre#
◉关注公众号,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉晨瑞黑科,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉私信,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉发送关键词,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉密码,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉可获取秘钥,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉安全起见,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4
◉密码定期改,https://sns-video-al.xhscdn.com/stream/110/259/01e6852e9292046a0103760390783f21b6_259.mp4


🎧早柚电台,#genre#
Channel [V]音乐台,http://117.114.153.26:8180/TV00000000000000000067@HHZT
love 119,https://sns-video-bd.xhscdn.com/stream/110/258/01e6a8b67b9c62ad0103700191030bcf75_258.mp4
Price Tag,https://sns-video-al.xhscdn.com/stream/110/259/01e69784bf51a5900103760390bfe09587_259.mp4
walk away,https://sns-video-bd.xhscdn.com/stream/110/259/01e6972d9e2c8d710103760390be9154aa_259.mp4
晚风遇见你,https://sns-video-al.xhscdn.com/stream/110/258/01e6922b812c81a80103700190aafc5e1a_258.mp4
花开忘忧,https://sns-video-bd.xhscdn.com/stream/110/259/01e690b6982c9c560103760390a54fdec3_259.mp4
等你归来,https://sns-video-al.xhscdn.com/stream/110/259/01e68e5ddf77746c01037603909c218363_259.mp4
小美满,https://sns-video-al.xhscdn.com/stream/110/259/01e6852f7391d83a010376039078440a96_259.mp4
DJ不太热,https://sns-video-al.xhscdn.com/stream/110/259/01e685301f92022701037603907845a499_259.mp4
目及皆是你,https://sns-video-al.xhscdn.com/stream/110/259/01e685307991e68f01037003907848ad75_259.mp4
晴雨天,https://sns-video-al.xhscdn.com/stream/110/259/01e68530c591cde00103760390784ce347_259.mp4
da da da,https://sns-video-al.xhscdn.com/stream/110/259/01e68530f273f6a30103700390784862b2_259.mp4
恋爱循环,https://sns-video-al.xhscdn.com/stream/110/259/01e685298592173d0103760390782bb8e0_259.mp4
勇气大爆发,https://sns-video-al.xhscdn.com/stream/110/259/01e68528d6923b320103700390783ce770_259.mp4
你呀你呀,https://sns-video-al.xhscdn.com/stream/110/259/01e68531237749ed010370039078491f1c_259.mp4
当真,https://sns-video-al.xhscdn.com/stream/110/259/01e68531fc9229e90103760390784be0df_259.mp4
奔赴星空,https://sns-video-al.xhscdn.com/stream/110/259/01e68532379203ee0103760390784cd61a_259.mp4
我不曾忘记,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea7b1922bd801037003905ebfe449_259.mp4
去有风的地方,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea4a973dc0a01037603905eb56068_259.mp4
可能,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea6ae91ea4e01037003905ebcbee3_259.mp4
忍者,https://sns-video-hw.xhscdn.com/stream/110/259/01e67ea42a73c93101037603905eb6a42e_259.mp4
本草纲目,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea38e73edeb01037603905eb13826_259.mp4
别让我担心,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea7d8519e0201037603905ec0d58f_259.mp4
I wanted you,https://sns-video-al.xhscdn.com/stream/110/259/01e6852d0e91ee6e01037003907838e0ba_259.mp4
门的另一端合唱,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea2e99205e701037603905eaef255_259.mp4
门的另一端,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea81f92306d01037603905ec17092_259.mp4
春节序曲,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea78651906801037703905ebf462a_259.mp4
不喜欢早柚该罚,https://sns-video-al.xhscdn.com/stream/110/259/01e6852efb73f076010370039078417c4a_259.mp4
冬眠,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea713920a8a01037003905ebd3e61_259.mp4
亲爱的你呀,https://sns-video-al.xhscdn.com/stream/110/259/01e67d461991e5fa0103760390595c3b27_259.mp4
胡桃,https://sns-video-al.xhscdn.com/stream/110/259/01e672a0a42a649501037603902fc56a43_259.mp4
柯莱,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea16e923aef01037603905ea82257_259.mp4
way back home,https://sns-video-al.xhscdn.com/stream/110/259/01e6724b372a55cb01037603902e7c6fd4_259.mp4
身骑白马,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea6ef51b46d01037603905ebd65a3_259.mp4
漠河舞厅,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea65a73c0c601037003905ebc0ed0_259.mp4
see you again,https://sns-video-bd.xhscdn.com/stream/110/258/01e67ea60f73f5b601037001905eb9b24b_258.mp4
干物妹,https://sns-video-al.xhscdn.com/stream/110/258/01e67ea5bb776c2501037001905eb80603_258.mp4
Señorita,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea56c9221ed01037603905eb6f138_259.mp4
一样的月光,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea53451b94b01037603905eb6ddec_259.mp4
山茶花读不懂白玫瑰,https://sns-video-al.xhscdn.com/stream/110/259/01e67ea4db92135301037603905eb4c125_259.mp4


🎦电影推荐,#genre#
赛德克巴莱,https://s1.bfzycdn.com/video/saidekebalai/HD/index.m3u8
猩球崛起:新世界,https://vvqq.play22-cdn.com/20240520/2309_3ad4bbad/2000k/hls/mixed.m3u8
疯狂的麦克斯：狂暴女神,https://s3.bfengbf.com/video/fengkuangdemaikesikuangbaonvshen/HD/index.m3u8
你想活出怎样的人生,https://s3.bfengbf.com/video/nixianghuochuzenyangderensheng/HD/index.m3u8

⚽️精选超清,#genre#
ipv6流畅秒播,https://cdn.pixabay.com/video/2023/11/05/187970-881517500_large.mp4
需V6网络支持,https://cdn.pixabay.com/video/2023/11/05/187970-881517500_large.mp4
CCTV-4K ,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
纯享4K,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010006/
纯享4K,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010006/
纯享4K,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/
纯享4K,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000004000011651/
4k修复,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
CCTV-1,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010144/
CCTV-1,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010144/
CCTV-2,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010211/
CCTV-3,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010212/
CCTV-5,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010063/
CCTV-5,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010139/
CCTV-5,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010063/
CCTV-5,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010139/
CCTV-5,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010145/
CCTV-5+,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010202/
CCTV-6,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010214/
CCTV-7,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010215/
CCTV-7,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010215/
CCTV-8,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010216/
CCTV-8,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010216/
CCTV-9,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010052/
CCTV-9,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010217/
CCTV-9,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010217/
CCTV-9,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010052/
CCTV-10,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010203/
CCTV-11,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031106/
CCTV-12,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010205/
CCTV-12,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010205/
CCTV-14,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010207/
CCTV-14,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000008170/
CCTV-15,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031109/
CCTV-16,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010142/
CCTV-16,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010142/
CCTV-17,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010210/
CCTV-17,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010210/

CCTV-1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000002226/
CCTV-2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/
CCTV-5,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265005/
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/
CCTV-6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/
CCTV-6,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265006/
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265007/
CCTV-7,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000024341/
CCTV-5+,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000018504/
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000014583/
CCTV-8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/
CCTV-9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/
CCTV-10,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/
CCTV-10,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000012827/
