體育/sports,#genre#
Fox Sports 1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/30776d2de8/index.m3u8
Fox Sports 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/479deb867d/index.m3u8
Bein Sports (CA),http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/59b68097b2/index.m3u8
Bein Sports 1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/98c218a941/index.m3u8
Bein Sports 2,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/b8065cf25d/index.m3u8
Bein Sports Xtra,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/d2de8e10e1/index.m3u8
BT Sport ESPN,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/8f82bbb4e9/index.m3u8
BT Sport Extra 5,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/0fb3a86fb6/index.m3u8
ESPN,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/6544b2e70b/index.m3u8
Eurosport 1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/868c217b17/index.m3u8
Fox Sports 501,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/3bef195723/index.m3u8
Fox Sports 502,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/4470fea9fc/index.m3u8
Fox Sports 504,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/68fb9204c2/index.m3u8
Fox Sports News,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/90052f446d/index.m3u8
Fox Sports Racing,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/7c2d0e70fe/index.m3u8
MAX,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/cff7c00612/index.m3u8
Sky Sports Arena,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/6afb6013c1/index.m3u8
Sky Sports Football,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/68aa5e1613/index.m3u8
Sky Sports News ,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/fdffaa0207/index.m3u8
Sky Store 1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/784d3b66ec/index.m3u8
Sky Store 4,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/910d94a6a2/index.m3u8
Sky Racing 1,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/15657da184/index.m3u8
Tennis Channel,http://e9a9b37defe7d888c.alivec.com/live/cjz2uzv1/1c03f6f8dd/index.m3u8
