
酒店秒开,#genre#
CGTN,http://116.233.34.25:7777/tsfile/live/1037_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CETV,http://116.233.34.25:7777/tsfile/live/1041_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://210.22.75.86:9901/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://58.245.97.28:9901/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://219.159.194.239:8181/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://113.218.230.180:8081/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://116.233.34.25:7777/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://219.159.194.157:8181/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://171.38.192.25:8088/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://183.185.252.91:9999/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://171.120.7.130:9999/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV1,http://122.224.58.42:85/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV2,http://219.159.194.157:8181/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV2,http://122.224.58.42:85/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV2,http://171.38.192.25:8088/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV2,http://113.218.230.180:8081/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357594$晚高峰卡
CCTV2,http://116.233.34.25:7777/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV2,http://171.120.7.130:9999/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV2,http://183.185.252.91:9999/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV2,http://210.22.75.86:9901/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV2,http://58.245.97.28:9901/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV2,http://219.159.194.239:8181/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://171.120.7.130:9999/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://219.159.194.157:8181/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://116.233.34.25:7777/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://122.224.58.42:85/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://58.245.97.28:9901/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://171.38.192.25:8088/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://113.218.230.180:8081/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://219.159.194.239:8181/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://183.185.252.91:9999/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV3,http://210.22.75.86:9901/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV4,http://171.38.192.25:8088/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV4,http://183.185.252.91:9999/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV4,http://116.233.34.25:7777/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV4,http://219.159.194.157:8181/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV4,http://219.159.194.239:8181/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV4,http://58.245.97.28:9901/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV4,http://113.218.230.180:8081/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV4,http://171.120.7.130:9999/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://183.185.252.91:9999/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://219.159.194.157:8181/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://122.224.58.42:85/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://210.22.75.86:9901/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://58.245.97.28:9901/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://171.120.7.130:9999/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://171.38.192.25:8088/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://219.159.194.239:8181/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://116.233.34.25:7777/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV5,http://113.218.230.180:8081/tsfile/live/0005_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV6,http://210.22.75.86:9901/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV6,http://219.159.194.157:8181/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV6,http://171.38.192.25:8088/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV6,http://171.120.7.130:9999/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV6,http://116.233.34.25:7777/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV6,http://122.224.58.42:85/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV6,http://183.185.252.91:9999/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
CCTV6,http://58.245.97.28:9901/tsfile/live/0006_1.m3u8?key=Aikantv&t=1727357595$晚高峰卡
